D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:25:28 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
180.584,0,312.5,66.67,612.51,437.51,833.35,0,0,116.67,3283.66,20,3850.46,1100.04,833.36,33.33,150,33.33,1633.42,1283.39
181.902,50,237.5,133.33,575.01,437.51,783.35,0,0,33.33,3633.74,70,3183.65,933.36,750.02,116.67,183.33,16.67,1016.7,1250.05
183.22,50,212.5,83.33,487.51,412.51,950.03,0,0,16.67,3200.31,40,3717.09,1150.04,616.68,166.67,183.33,16.67,916.69,866.69
184.538,16.67,250,100,775.02,412.51,816.69,25,25,33.33,2883.59,70,3567.06,1333.39,716.68,183.33,133.33,16.67,850.02,1266.72
185.856,66.67,250,100,800.02,575.01,550.01,0,0,83.33,4317.23,50,3550.39,1266.72,883.36,183.33,133.33,50,966.7,1133.38
187.175,33.33,250,50,625.01,412.51,866.69,25,12.5,83.33,3700.42,150,2716.89,1016.7,866.69,150,166.67,33.33,1366.73,1600.09
188.493,66.67,237.5,50,500.01,787.52,933.36,0,0,66.67,3133.63,110,3633.74,1100.04,750.02,66.67,266.67,16.67,700.02,1433.4
189.811,16.67,387.5,83.33,587.51,450.01,783.35,0,0,16.67,2983.6,20,2583.54,1166.71,566.68,216.67,150,16.67,1150.04,816.69
191.129,33.33,250,66.67,487.51,800.02,983.36,0,12.5,83.33,3867.12,40,3550.39,900.03,900.03,266.67,133.33,33.33,1283.39,1266.72
192.447,16.67,225,100,487.51,625.01,750.02,25,12.5,116.67,2816.91,50,2733.56,1066.7,683.35,116.67,183.33,0,666.68,1266.72
193.765,0,300,200,637.51,500.01,883.36,25,0,133.33,3333.67,70,2933.6,1233.38,700.02,116.67,116.67,0,816.69,1150.04
195.083,66.67,437.51,50,375,400,1033.37,0,0,200,4400.59,40,2933.6,1133.37,816.69,83.33,183.33,0,1150.04,1200.05
196.401,16.67,350,16.67,675.01,562.51,1200.04,0,0,100,4567.3,80,2916.93,866.69,533.34,83.33,133.33,16.67,1066.7,1166.71
197.719,16.67,287.5,150,562.51,487.51,800.02,0,0,33.33,3317,50,3033.62,1333.39,600.01,83.33,133.33,0,833.36,1183.38
199.037,50,175,166.67,762.52,525.01,1083.37,12.5,0,33.33,4250.55,60,2916.93,1250.05,866.69,116.67,50,0,1000.03,1250.05
200.355,16.67,262.5,0,512.51,550.01,1066.7,25,0,50,3300.33,60,3016.95,1200.04,383.34,133.33,133.33,0,1350.06,1533.41
